year,quarter,consumption,income
1985,Q4,0.21986403,1.030018787
1986,Q1,0.83153359,1.183355120
1986,Q2,1.05966370,1.128116143
1986,Q3,1.73244172,0.523753063
1986,Q4,0.60006243,0.059897054
1987,Q1,-0.15228800,0.611885129
1987,Q2,1.32935729,-1.090188910
1987,Q3,1.11041685,1.772266694
1987,Q4,0.24012547,1.410476141
1988,Q1,1.65692852,1.248862406
1988,Q2,0.72306031,0.934536046
1988,Q3,0.78681412,0.766858588
1988,Q4,1.17068014,0.896061766
1989,Q1,0.36522624,1.130999186
1989,Q2,0.44694325,-0.411533933
1989,Q3,1.03134287,0.645197097
1989,Q4,0.48794531,0.762948357
1990,Q1,0.78786794,0.750360325
1990,Q2,0.32958888,0.655150176
1990,Q3,0.37909401,0.072718052
1990,Q4,-0.78228237,-0.676795704
1991,Q1,-0.28358087,0.307585359
1991,Q2,0.75819378,0.755588074
1991,Q3,0.38256742,0.211957150
1991,Q4,-0.04493204,0.649885878
1992,Q1,1.70442848,1.497981581
1992,Q2,0.59103346,0.763512573
1992,Q3,1.09931218,0.506330196
1992,Q4,1.21261583,1.412562187
1993,Q1,0.40511535,-1.477541558
1993,Q2,0.95540152,1.543168336
1993,Q3,1.07908089,0.212590891
1993,Q4,0.88609934,1.463027070
1994,Q1,1.10781585,-0.400479849
1994,Q2,0.73801073,1.691849180
1994,Q3,0.79832641,0.732048430
1994,Q4,0.98235581,1.317421015
1995,Q1,0.11670364,0.646210704
1995,Q2,0.81643944,0.009071803
1995,Q3,0.89012327,0.745603285
1995,Q4,0.70025668,0.591013847
1996,Q1,0.90999511,1.059530012
1996,Q2,1.12517415,1.068869375
1996,Q3,0.59749105,0.847813936
1996,Q4,0.81104981,0.547321447
1997,Q1,1.00231479,0.890373141
1997,Q2,0.40370845,0.748012589
1997,Q3,1.68561876,1.138248868
1997,Q4,1.13779625,1.379965421
1998,Q1,0.98935016,2.248544314
1998,Q2,1.70668759,1.417721496
1998,Q3,1.31690105,1.045312610
1998,Q4,1.52238359,0.730112366
1999,Q1,0.98149855,0.675449171
1999,Q2,1.56147049,0.228461748
1999,Q3,1.19479035,0.644917550
1999,Q4,1.40026421,1.555650840
2000,Q1,1.50504064,2.079917327
2000,Q2,0.93588274,1.019653998
2000,Q3,0.97432184,1.055609188
2000,Q4,0.88064976,0.149548646
2001,Q1,0.39868539,0.748024500
2001,Q2,0.37651229,-0.274110069
2001,Q3,0.43918859,2.514669298
2001,Q4,1.55369100,-1.173044414
2002,Q1,0.34382689,2.659477606
2002,Q2,0.50665404,0.549165469
2002,Q3,0.67571194,-0.343744371
2002,Q4,0.35472465,0.236234260
2003,Q1,0.50387273,0.367138124
2003,Q2,0.98555573,1.501775306
2003,Q3,1.33766670,1.390030780
2003,Q4,0.54254673,0.573803177
2004,Q1,0.88074795,0.443164179
2004,Q2,0.44397949,0.983686803
2004,Q3,0.87037870,0.666082163
2004,Q4,1.07395152,1.388903698
2005,Q1,0.79393888,-1.225522766
2005,Q2,0.98477889,0.701673549
2005,Q3,0.75627802,0.594778066
2005,Q4,0.24819787,0.545328307
2006,Q1,1.01902713,1.855678610
2006,Q2,0.60048219,0.882341774
2006,Q3,0.59799998,0.479144681
2006,Q4,0.92584113,1.302357376
2007,Q1,0.55424125,0.451389832
2007,Q2,0.38257957,0.149334878
2007,Q3,0.43929546,0.392083863
2007,Q4,0.29465872,0.548559897
2008,Q1,-0.25266521,1.430770981
2008,Q2,-0.03553182,1.973964634
2008,Q3,-0.97177447,-2.308604067
2008,Q4,-1.31350400,-0.057706851
2009,Q1,-0.38748400,-0.969060881
2009,Q2,-0.47008302,0.063290188
2009,Q3,0.57400096,-1.392556217
2009,Q4,0.10932885,-0.144713401
2010,Q1,0.67101795,1.187165135
2010,Q2,0.71771819,1.354354721
2010,Q3,0.65314326,0.561169813
2010,Q4,0.87535215,0.371057940
